,male,female,flames_result
9264,randy hudson,lisa jones,Love
9265,jimmy davis,jessica jackson,Marriage
9266,james carpenter,dr emily nguyen,Marriage
9267,jeffrey hayes,kathleen bell,Friends
9268,harold perry,jessica phillips,Friends
9269,john stein,tracy frederick,Friends
9270,taylor anderson,jessica ashley,Affection
9271,tyler santos,alexis baxter,Enemy
9272,craig roberts,pamela ramirez,Marriage
9273,erik rios,susan hamilton,Affection
9274,kevin wilkinson,rose wilson,Enemy
9275,willie williams,jacqueline hayden,Affection
9276,william martinez,crystal cole,Affection
9277,michael yang,felicia baker,Enemy
9278,mark suarez,beverly gonzalez,Affection
9279,john harris,melinda gonzalez,Marriage
9280,adam flowers,jennifer mason,Affection
9281,michael wilson,vanessa farmer,Affection
9282,john flores,amy smith,Friends
9283,david rogers,lynn wong,Marriage
9284,timothy henry,sarah gonzales,Friends
9285,william byrd,helen combs,Friends
9286, nicholas dean jr,lisa terry,Affection
9287,bradley robertson,hayley young,Marriage
9288,brandon mccarthy,tina stevens,Friends
9289,joseph palmer jr,melissa adams,Marriage
9290,dr michael massey,laura martin,Affection
9291,nicholas hancock,ellen knight,Affection
9292,phillip diaz, mallory gardner,Enemy
9293,nathaniel benson,lorraine todd,Enemy
9294,reginald hudson,crystal farley,Friends
9295,adrian webb,madison murphy,Affection
9296,ricky perkins,jane marshall,Marriage
9297,shawn hancock,brittany ferguson,Affection
9298,garrett patel,jamie santos,Affection
9299,patrick harris,jamie steele,Friends
9300,william baker,misty hill,Marriage
9301,jeffrey barrera,anna jones,Affection
9302,adrian king,megan hughes,Affection
9303,george hunt,alyssa lopez,Friends
9304,darren davis,laura johnson,Marriage
9305,james johnson,stephanie hernandez,Marriage
9306,james smith,cheryl bowers,Friends
9307,antonio martin,julie ramirez,Affection
9308,richard baker,ashley meyer,Love
9309,james lee,kiara richardson,Affection
9310,jeff jackson,linda henry,Friends
9311,craig schmidt,kristina wilkerson,Friends
9312,douglas dunn, virginia costa phd,Marriage
9313,tanner davis,amanda howe,Enemy
9314,joshua potter,andrea goodman,Affection
9315,mark stanley,jennifer henry,Marriage
9316,daniel juarez,kim arellano,Enemy
9317,jordan simmons,mary wise,Enemy
9318,keith rodriguez,leslie reese,Affection
9319,jesse allison,julia smith,Affection
9320,jeffrey shaw,stephanie nguyen,Affection
9321,john chase,karen lindsey,Marriage
9322,dustin wilcox,lisa davis,Love
9323,christopher rodgers,debra green,Affection
9324,mark beck,april williams,Friends
9325,ronald rodriguez,joann sweeney,Friends
9326,joe austin,leslie fowler,Marriage
9327,colton may,kimberly johnson,Marriage
9328,corey warner,kathleen marsh,Marriage
9329,kevin young,hannah allen,Friends
9330,johnathan thomas,toni rogers phd,Affection
9331,rick williams,rebecca scott,Friends
9332,shane mendoza,christina ramsey,Love
9333,michael mayo,frances brown,Friends
9334,shawn duke,kathy barnes,Enemy
9335,marcus smith,monica santos,Enemy
9336,michael hughes,elizabeth barnes,Love
9337,william schneider,stephanie walker,Marriage
9338,thomas rush,summer martinez,Affection
9339,gabriel smith,janet jones,Affection
9340,james beck,tonya hardy,Friends
9341,andrew thompson,sarah robinson,Affection
9342,brian mcgrath,heather bright,Friends
9343,jerry hood,christina harris,Friends
9344,kevin bryant,tiffany lloyd,Marriage
9345,paul bishop,pamela cox,Enemy
9346,rodney farley,erica parsons,Love
9347,adam garza,melissa davis,Marriage
9348,jason harrison,mary woods,Enemy
9349,james martinez,alexandra dennis,Enemy
9350,james wilson,monica montgomery,Love
9351, jeffery gamble,stephanie barker,Friends
9352,christopher brown,nicole evans,Affection
9353,thomas bowen iv,denise duncan,Affection
9354,daniel rivera,tina schroeder,Enemy
9355,christopher todd,heather wright,Love
9356,michael schneider,elizabeth johnson,Marriage
9357,jason gonzalez,catherine ross,Marriage
9358,robert wood dds,becky davis,Affection
9359,brian watson,kristy mccoy,Affection
9360,michael lowe,donna farley,Marriage
9361,david perez,nina tran,Marriage
9362,juan brown,sandra parker,Love
9363,edward vasquez,tonya walter,Affection
9364,timothy khan,andrea perry,Marriage
9365,ryan davis,melissa huerta,Marriage
9366,henry austin,katrina wallace,Enemy
9367,luke robinson,bailey roth,Enemy
9368,ronald fowler,angelica hamilton,Affection
9369,richard prince,stacey fischer,Affection
9370,michael dominguez,victoria marks,Marriage
9371,ricky dominguez,susan lynch,Marriage
9372,matthew wood,andrea ortiz,Enemy
9373,jared preston,robin garrett,Enemy
9374,brian griffin,jacqueline villa,Friends
9375,john brown,alexandra long,Affection
9376,brian mcdaniel,amber palmer,Enemy
9377,stephen andrews,ashley jones,Enemy
9378,phillip dixon,virginia wright,Marriage
9379,jason navarro dvm,angela lindsey,Marriage
9380,william owens,maria wilson,Enemy
9381,ian davis,dana stanton,Marriage
9382,kevin cruz,shannon gordon,Marriage
9383,william schultz,laura decker,Friends
9384,timothy vega,latoya bentley,Enemy
9385, michael cooley md,jodi watson,Friends
9386,samuel hawkins,tanya moran,Affection
9387,patrick roberts,shelley fitzpatrick,Affection
9388,jared mckay,lynn arnold,Marriage
9389,johnny lewis,rebecca davis,Friends
9390,curtis day,sarah henry,Enemy
9391,john turner,mary carter,Marriage
9392,jeffrey miller,nicole martinez,Marriage
9393,aaron anderson,alexis brown,Marriage
9394,dustin steele,jenny townsend,Enemy
9395,frank west,cynthia moore,Marriage
9396,christopher howard,daisy wilson,Affection
9397,michael morrison,brianna santana,Love
9398,john taylor,kimberly watkins,Affection
9399,reginald jones,nancy santiago,Enemy
9400,shawn smith,cassandra estrada,Marriage
9401,daniel peters,victoria morris dds,Marriage
9402,joel parker,anne lopez,Enemy
9403,robert mcbride,angela mejia,Friends
9404,david rodriguez,sarah tapia,Affection
9405, louis roberts,bridget jennings,Affection
9406,stephen garcia,amy carter,Affection
9407,roberto luna,veronica montgomery,Love
9408,robert rivera,beth taylor,Friends
9409, eric lopez dds,barbara norton,Enemy
9410,jose bryant,jeanette cortez,Friends
9411,taylor wilson,sara brown,Marriage
9412, kenneth fuller,stephanie riley,Marriage
9413,william reilly,dr nicole rodriguez dvm,Marriage
9414,wesley meyer,stephanie whitehead,Affection
9415,daniel parks,elaine smith,Enemy
9416,sean lewis,jody thompson,Friends
9417,brent gonzales,colleen santana,Friends
9418,andrew santiago,amanda smith,Affection
9419,jason roman,deborah leon,Enemy
9420,jordan johnson,meagan palmer,Marriage
9421,jonathan williams,jessica stevenson,Love
9422,dennis lindsey,amanda richards,Affection
9423,david clark,andrea gilbert,Enemy
9424,bobby williams,angel williams,Affection
9425,joel salinas,samantha anderson dds,Marriage
9426,wayne williams,colleen snow,Enemy
9427,ernest mcneil, jessica barrera,Love
9428,scott robinson,betty graham,Friends
9429,brent smith,tina bradley,Affection
9430,david carrillo,tanya duarte,Affection
9431,sean matthews,joann martin,Love
9432,tyler marshall,andrea wilkins,Marriage
9433,jerry alvarez,shannon perez,Marriage
9434,charles zavala,teresa pineda,Marriage
9435,matthew warren, megan valenzuela dds,Friends
9436,joshua cook,maria martinez,Love
9437,raymond powell,carolyn york,Enemy
9438,jesus lucas,alyssa stewart,Enemy
9439,benjamin sims,deborah palmer,Friends
9440,jacob hammond,dorothy hall,Marriage
9441,christopher love,krystal murphy,Affection
9442,lawrence holmes,sharon harvey,Enemy
9443,thomas rich,brianna jackson,Love
9444,anthony woodard,angel robinson,Affection
9445,adam armstrong,tracy garza,Enemy
9446,christopher hernandez,jenna holloway,Marriage
9447,jeffrey johnson,victoria page,Friends
9448,daniel romero,regina harris,Affection
9449,christopher conner,mary haley,Friends
9450,carl king,april wilkinson,Marriage
9451,joel murphy,gina bass dvm,Love
9452,benjamin snow,kara davis,Affection
9453,donald french,brandy davis,Marriage
9454,joel ross,angelica chen,Marriage
9455,william proctor,melanie taylor,Enemy
9456,stephen tran,rachel scott,Enemy
9457,michael hampton,morgan grant,Marriage
9458,bradley watkins,emily peterson,Enemy
9459,juan sanders,ashley benson,Enemy
9460,justin kemp,renee marshall,Affection
9461,michael lewis,kristie ramirez,Marriage
9462,michael johnson,joanne patrick,Enemy
9463,fred mccullough,annette wright,Friends
9464,michael williams,amy rodriguez,Marriage
9465,austin miller,heather hernandez,Affection
9466,taylor drake md,alexandria bowen,Love
9467,jonathan byrd,sarah thompson,Affection
9468,mark rodriguez,stacie anderson,Marriage
9469,brandon brown,sarah little,Affection
9470,dylan scott,denise johnson,Marriage
9471,brian herrera,amanda snyder,Affection
9472,michael williams,jordan oconnor,Friends
9473,david mann,patricia alvarado,Love
9474,chase ellis,megan matthews,Marriage
9475,alan nguyen,sabrina smith,Friends
9476,jared smith,maureen moore,Love
9477,cody dunn,danielle myers,Affection
9478,donald stanton,brenda davis,Love
9479,brian bates,dana walker,Enemy
9480,mark andrews, cindy hines dds,Love
9481,zachary york,mikayla kennedy,Friends
9482,paul george,molly smith,Marriage
9483,matthew barrett,audrey adams,Affection
9484,bradley snyder,nicole nichols,Marriage
9485,vincent white,anna davis,Affection
9486,jose vance,jennifer reed,Love
9487,charles johnson,julie thomas,Affection
9488,hector mcneil,sandra james,Friends
9489,bradley robles,lisa gilbert,Enemy
9490,john moore,amanda long,Love
9491,caleb williamson,joann parker,Marriage
9492,michael phillips dds,suzanne jones,Friends
9493,eduardo sanders,nicole montgomery,Friends
9494,william davidson,nicole woodward,Marriage
9495,jeremy sanchez,tracy martin,Love
9496,jerry gardner,dana davis,Affection
9497,brandon beck,vickie moran,Enemy
9498,david scott,kathryn roberts,Friends
9499,duane simon,tiffany flowers,Marriage
9500,matthew sanchez,katherine hoffman,Love
9501,eddie reese,courtney higgins,Affection
9502,dale morales,denise murray,Enemy
9503,john fields,shelia krause,Love
9504,david steele,sarah lopez,Love
9505,john henson,lisa mack,Friends
9506,steven martinez,erin gonzalez,Affection
9507,jimmy griffin,megan ross,Affection
9508,jeremy webster,charlotte martinez,Friends
9509,nicholas burton,tracy ware,Affection
9510,mark nelson,susan crosby,Affection
9511,patrick smith,julie fleming,Friends
9512,james choi,traci nguyen,Affection
9513,tyler morales,katherine perez,Affection
9514,justin kline,jessica peterson,Affection
9515,richard martin,julie kennedy,Affection
9516,alexander brown,jasmine osborne,Enemy
9517,brad scott,anna perkins,Affection
9518,wesley mcdowell,kristen beard,Affection
9519,matthew gregory,carmen wilson,Affection
9520,jeremy ramos dvm,ann vazquez,Friends
9521,peter smith,molly hopkins,Affection
9522,henry spence,kimberly cox,Affection
9523,dominic johnson,krista little,Enemy
9524,william parker,shelly stephens,Affection
9525,thomas fuentes,connie shaw,Affection
9526,douglas bell,regina mathews,Friends
9527,trevor dean,taylor baker,Enemy
9528,timothy watson,crystal robinson,Affection
9529,michael alexander,hannah alvarez,Enemy
9530,charles baker,brandi solomon,Affection
9531,michael reed,annette strickland,Love
9532,frank harris,taylor diaz,Marriage
9533,jeffrey schwartz,maria king,Friends
9534,damon ramirez,debra gibson,Enemy
9535,shane brown,shelby gould,Marriage
9536,michael hart,kelsey rowe,Affection
9537,matthew warren,danielle williams,Friends
9538,jeffrey watson,alexis schultz,Friends
9539,jeffrey simpson,chelsea marks,Friends
9540,jeffrey edwards,christine beltran,Affection
9541,james allison,heather martin,Affection
9542,michael garcia,monique baker,Marriage
9543,connor berg,nicole taylor,Affection
9544,daniel wyatt,ms cindy jackson,Friends
9545,mark bradford,stephanie montoya,Love
9546,justin taylor,angela davis,Marriage
9547,matthew jacobs,abigail kidd,Friends
9548,adam moore,julie sloan,Marriage
9549,louis rogers,crystal lawrence,Affection
9550,randy wilson,sheena johnson,Marriage
9551,eddie thompson,susan duncan,Friends
9552,oscar miller,wendy lawrence,Love
9553,joshua james,rebecca lambert,Marriage
9554,joseph robbins,adriana hill,Marriage
9555,jonathan walter,sue tanner,Enemy
9556,drew weber,paige gillespie,Affection
9557,charles johnson,tamara kirk,Affection
9558,kyle young,lisa hahn,Affection
9559,marcus kennedy,nichole rivera,Affection
9560,bradley dennis,amber avery,Enemy
9561,patrick holland,victoria shaffer,Marriage
9562,barry moore,miss virginia nicholson dds,Enemy
9563,gerald hunt,donna williams,Affection
9564,robert bradshaw,stephanie ewing,Affection
9565,robert harrison,sandra lambert,Enemy
9566,spencer collier,heather morris,Marriage
9567,chris williams,margaret robles,Affection
9568,carlos smith,michelle long,Enemy
9569,ryan crawford,christine williams,Friends
9570,dennis smith,lori parks,Friends
9571,darren moore,elizabeth garcia,Friends
9572,kenneth preston,gabrielle anderson,Affection
9573,drew webster,tammy washington,Friends
9574,timothy keller,mary reeves,Marriage
9575,joseph padilla,ashley wallace,Enemy
9576,anthony rice,miss cheryl moss,Marriage
9577,scott bass,jenna waller,Affection
9578,kevin robinson,shelby brown,Affection
9579,james curtis,brenda russell,Love
9580,gregory baker,crystal douglas,Affection
9581,paul hayes,teresa hicks,Enemy
9582,marc huff,janice green,Affection
9583,robert brennan,courtney gilbert,Enemy
9584,cristian brooks,marisa rocha,Marriage
9585,robert martinez,tracy cowan,Love
9586,joseph parker,lori luna,Affection
9587,michael brady,daisy carter,Marriage
9588,bryan lam,suzanne cunningham,Affection
9589,alan hatfield,megan baldwin,Enemy
9590,frederick lee,sandra simon,Friends
9591,john aguirre,nichole patterson,Enemy
9592,joshua martinez,shannon logan,Love
9593,george paul,tonya allen,Enemy
9594,michael jackson,ruth weaver,Friends
9595,john williams,beth hamilton,Enemy
9596,joseph williamson,cindy perry,Affection
9597,kevin marshall,stephanie long,Affection
9598,jeremy moore,susan sexton,Marriage
9599,anthony smith,casey barker,Friends
9600,alexander chan,margaret bowen md,Marriage
9601,connor haynes,ashley rodriguez,Love
9602,todd smith,amanda holland,Affection
9603,sean howard,stacy stewart,Enemy
9604,matthew johnson,olivia jackson,Affection
9605,mark gomez,margaret harrington,Affection
9606,patrick clark,amber jackson,Marriage
9607,ryan hayden,dr morgan mejia,Love
9608,robert carter, melissa lopez,Marriage
9609,anthony king,jacqueline reynolds,Friends
9610,christopher spears,lisa hunter,Enemy
9611,tyler harris,julia reese,Friends
9612,travis hamilton,alicia williams,Enemy
9613,john sanchez,kathy perkins,Marriage
9614,paul snyder,amber watson,Love
9615,gavin cooper,nicole gregory,Friends
9616,christopher garcia,savannah garcia,Enemy
9617,mark hunt,alice lawson,Friends
9618,michael williams,tina green,Friends
9619,anthony turner,kaylee alvarez md,Marriage
9620,troy beard,carrie bell,Affection
9621,michael roberts,destiny dawson,Affection
9622,david morton,whitney allen,Friends
9623,antonio williams,danielle walker,Marriage
9624,aaron williamson,jessica martinez,Marriage
9625,zachary carr,andrea gray,Affection
9626,kenneth richards,brandi harris,Marriage
9627,daniel lam,tina perry,Enemy
9628,fred riggs,brandi davis,Enemy
9629,jesse vargas,robin berger,Affection
9630,jeremy scott, rebecca todd,Enemy
9631,jeffrey baxter,cassandra hernandez,Affection
9632,kerry ortega,joyce moore,Enemy
9633,justin larson,ashley pope,Affection
9634,justin shaffer,alison petty,Love
9635,jeremy cowan,ashley young,Love
9636,andrew hansen,christina tapia,Marriage
9637,christopher oliver, rebecca taylor dvm,Affection
9638,lee burgess,taylor reyes,Affection
9639,thomas harrison,jessica mcfarland,Affection
9640,kyle hughes,kelly alexander,Marriage
9641,bruce smith,lisa castro,Enemy
9642,kyle mills,elaine williams,Marriage
9643,justin bauer,barbara barber,Enemy
9644,michael burns,kimberly walker,Enemy
9645,richard hines,jessica choi,Marriage
9646,wesley bell,toni braun,Affection
